DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
11/02/2020|da1001|Dalla |180||180|900|0|-900
12/02/2020|da1002|Dalla |15||195|75|0|-975
20/02/2020|7|Fernando M\'edico||90|105|0|900|0
20/02/2020|8|\^Onibus Rota Cervejeira||30|75|0|360|360
20/02/2020|9|Galp\~ao M\~ao Pelada||30|45|0|360|720
20/02/2020|15|L'jaica (Bar)||15|30|0|360|1080
18/03/2020|21|L'jaica (Bar)||30|0|0|660|1740
29/02/2020|29|Emp\'orio Garden ||30|-30|0|360|2100
11/03/2020|30|L'jaica (Bar)||30|-60|0|660|2760
28/02/2020|da1003|Dalla |60||0|300|0|2460
17/03/2020|da3705|Dalla |45||45|225|0|2235
17/03/2020|da3391|Dalla |300||345|225|0|2010
17/03/2020|43|L'jaica (Bar) Turma de Medicina||15|330|0|180|2190
17/03/2020|44|L'jaica (Bar) ||30|300|0|660|2850
