N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
10|2020/05/07|49|Painel|0|30|30|0|300|1829.4
11|2020/05/23|75|Rafael Oneda|0|30|0|0|300|2129.4
12|2020/06/15|da6470|Dalla|60|0|60|300|0|1829.4
2|2020/03/03|da0320|Dalla|390|0|390|1950|0|-1950
3|2020/03/06|da3391|Dalla|135|0|525|675|0|-2625
4|2020/03/06|1|L'jaica|0|45|480|0|225|-2400
5|2020/03/06|4|Parque Conta Dinheiro|0|240|240|0|2160|-240
6|2020/03/07|6|Barbosa|0|30|210|0|300|60
7|2020/03/07|7|Carlito|0|30|180|0|270|330
8|2020/03/07|11|Parrilha|0|30|150|0|300|630
8|2020/04/10|17|?|0|90|60|0|599.4|1229.4
9|2020/03/09|12|PJ Retífica|0|60|0|0|600|1829.4
9|2020/05/07|da0520|Dalla|60|0|60|300|0|1529.4
