N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/11|da1001|Dalla|180|0|180|900|0|-900
1|2020/02/12|da1002|Dalla|15|0|195|75|0|-975
10|2020/03/17|da3391|Dalla|300|0|375|225|0|1275
11|2020/03/17|43|L'jaica (Bar): Turma de Medicina|0|15|360|0|180|1455
12|2020/03/17|44|L'jaica (Bar)|0|30|330|0|660|2115
13|2020/03/18|21|L'jaica (Bar)|0|30|300|0|660|2775
2|2020/02/20|7|Fernando Médico|0|90|105|0|900|-75
3|2020/02/20|8|Ônibus Rota Cervejeira|0|30|75|0|360|285
4|2020/02/20|9|Galpão Mão Pelada|0|30|45|0|360|645
5|2020/02/20|15|L'jaica (Bar)|0|15|30|0|360|1005
6|2020/02/28|da1003|Dalla|60|0|90|300|0|705
7|2020/02/29|29|Empório Garden|0|30|60|0|360|1065
8|2020/03/11|30|L'jaica (Bar)|0|30|30|0|660|1725
9|2020/03/17|da3705|Dalla|45|0|75|225|0|1500
